Customer ID,Customer Age,Birth Year,Annual Income,Number of Kids,Number of Teens,Household Size,Customer Segment,Customer Join Date,First Purchase Date,Engagement Score,Engagement Tier,Monthly Web Visits,Promo Purchases,Web Purchases,Catalog Purchases,Store Purchases,Days Since Last Purchase,Campaign Accepted,Total_Spending,Avg Spend per Purchase,Lifetime_Spend,High Value Customer,Spend on Wine,Spend on Fruits,Spend on Meat,Spend on Fish,Spend on Sweets,Spend on Gold,Last_Campaign_Response,Engagement Category,Campaign3_Accepted,Campaign4_Accepted,Campaign5_Accepted,Campaign1_Accepted,Campaign2_Accepted,Customer_Complained,Contact_Cost,Revenue_Adjusted,Customer_Since_Converted,Days_As_Customer,Total_Purchases,Engagement_Rate,Education_Basic_1,Education_Graduation_1,Education_Master_1,Education_PhD_1,Marital_Status_Alone_1,Marital_Status_Divorced_1,Marital_Status_Married_1,Marital_Status_Single_1,Marital_Status_Together_1,Marital_Status_Widow_1,Marital_Status_YOLO_1
8720,47,1978,51381,0,0,0,High,2012-08-12,2012-08-12,2,Low,0,0,0,0,1,53,1,1679,1679.0,1680,Yes,32,2,1607,12,4,22,0,Low,0,1,0,0,0,0,3,11,4603,4603,1,0,0,0,0,0,0,0,0,0,1,0,0
6862,54,1971,1730,0,0,0,Low,2014-05-18,2014-05-18,35,High,20,15,0,0,0,65,0,8,0.5333333333333333,43,No,1,1,3,1,1,1,0,High,0,0,0,0,0,0,3,11,3959,3959,15,1,0,1,0,0,0,1,0,0,0,0,0
5376,46,1979,2447,1,0,1,High,2013-01-06,2013-01-06,44,High,1,15,0,28,0,42,0,1730,40.23255813953488,1774,Yes,1,1,1725,1,1,1,0,Low,0,0,0,0,0,0,3,11,4456,4456,43,0,0,1,0,0,0,0,1,0,0,0,0
11110,52,1973,3502,1,0,1,Low,2013-04-13,2013-04-13,14,Low,14,0,0,0,0,56,0,5,inf,19,No,2,1,1,0,0,1,0,High,0,0,0,0,0,0,3,11,4359,4359,0,14,0,1,0,0,0,0,0,1,0,0,0
9931,62,1963,4023,1,1,2,Low,2014-06-23,2014-06-23,34,High,19,15,0,0,0,29,0,9,0.6,43,No,5,0,1,1,1,1,0,High,0,0,0,0,0,0,3,11,3923,3923,15,1,0,0,0,1,0,0,1,0,0,0,0
3955,60,1965,4861,0,0,0,Low,2014-06-22,2014-06-22,14,Low,14,0,0,0,0,20,0,6,inf,20,No,2,1,1,1,0,1,0,High,0,0,0,0,0,0,3,11,3924,3924,0,14,0,1,0,0,0,1,0,0,0,0,0
4303,68,1957,6835,0,1,1,Low,2012-12-08,2012-12-08,21,Medium,20,0,0,0,1,76,0,137,137.0,158,No,107,2,12,2,2,12,0,High,0,0,0,0,0,0,3,11,4485,4485,1,10,0,0,0,1,0,0,0,0,1,0,0
9553,38,1987,7500,0,0,0,Low,2013-01-09,2013-01-09,10,Low,6,1,0,0,3,94,0,15,3.75,25,No,0,2,3,4,1,5,0,High,0,0,0,0,0,0,3,11,4453,4453,4,1,0,1,0,0,0,0,1,0,0,0,0
10749,34,1991,8028,0,0,0,Low,2012-09-18,2012-09-18,35,High,19,15,0,1,0,62,0,178,11.125,213,No,73,18,66,7,12,2,0,High,0,0,0,0,0,0,3,11,4566,4566,16,1,0,1,0,0,0,0,0,1,0,0,0
8977,40,1985,16581,0,0,0,Low,2013-01-12,2013-01-12,8,Low,4,1,0,0,3,51,0,24,6.0,32,No,1,3,4,2,3,11,0,Low,0,0,0,0,0,0,3,11,4450,4450,4,0,1,0,0,0,0,0,0,1,0,0,0
5029,79,1946,18100,0,0,0,Low,2013-08-06,2013-08-06,9,Low,5,1,0,0,3,14,0,14,3.5,23,No,3,1,2,4,3,1,0,High,0,0,0,0,0,0,3,11,4244,4244,4,1,0,1,0,0,0,0,1,0,0,0,0
8369,38,1987,18227,1,0,1,Low,2012-11-08,2012-11-08,12,Low,8,1,0,1,2,21,0,28,7.0,40,No,1,2,7,4,3,11,0,High,0,0,0,0,0,0,3,11,4515,4515,4,1,0,1,0,0,0,0,0,0,1,0,0
624,41,1984,18890,0,0,0,Low,2012-11-10,2012-11-10,11,Low,6,1,0,1,2,5,1,35,8.75,45,No,6,4,1,7,2,15,1,High,1,0,0,0,0,0,3,11,4513,4513,4,1,0,0,1,0,0,0,0,1,0,0,0
9543,40,1985,19986,1,0,1,Low,2013-11-14,2013-11-14,11,Low,7,1,0,0,3,74,0,22,5.5,33,No,3,6,5,0,2,6,0,High,0,0,0,0,0,0,3,11,4144,4144,4,1,0,1,0,0,0,0,1,0,0,0,0
7093,40,1985,19986,1,0,1,Low,2013-11-14,2013-11-14,11,Low,7,1,0,0,3,74,0,22,5.5,33,No,3,6,5,0,2,6,0,High,0,0,0,0,0,0,3,11,4144,4144,4,1,0,1,0,0,0,0,1,0,0,0,0
2518,39,1986,20491,0,0,0,Low,2013-01-25,2013-01-25,11,Low,7,1,0,1,2,16,0,30,7.5,41,No,5,4,5,4,2,10,0,High,0,0,0,0,0,0,3,11,4437,4437,4,1,0,0,0,0,0,0,0,0,1,0,0
8430,68,1957,21994,0,1,1,Low,2012-12-24,2012-12-24,9,Low,5,1,0,0,3,4,0,22,5.5,31,No,9,0,6,3,1,3,0,High,0,0,0,0,0,0,3,11,4469,4469,4,1,0,1,0,0,0,0,0,0,1,0,0
8619,68,1957,21994,0,1,1,Low,2012-12-24,2012-12-24,9,Low,5,1,0,0,3,4,0,22,5.5,31,No,9,0,6,3,1,3,0,High,0,0,0,0,0,0,3,11,4469,4469,4,1,0,1,0,0,0,0,0,0,1,0,0
7788,42,1983,23536,1,0,1,Low,2014-06-04,2014-06-04,7,Low,3,1,0,0,3,53,0,10,2.5,17,No,6,0,3,0,0,1,0,Low,0,0,0,0,0,0,3,11,3942,3942,4,0,0,0,0,1,0,0,1,0,0,0,0
9850,53,1972,24884,1,0,1,Low,2012-11-29,2012-11-29,11,Low,7,1,0,0,3,32,0,19,4.75,30,No,3,6,7,0,0,3,0,High,0,0,0,0,0,0,3,11,4494,4494,4,1,0,0,0,0,0,0,1,0,0,0,0
6147,54,1971,25818,1,0,1,Low,2012-10-18,2012-10-18,11,Low,7,1,0,1,2,51,0,28,7.0,39,No,5,2,8,2,2,9,0,High,0,0,0,0,0,0,3,11,4536,4536,4,1,0,1,0,0,0,1,0,0,0,0,0
10401,49,1976,26326,0,0,0,Low,2013-09-04,2013-09-04,7,Low,3,1,0,0,3,12,0,18,4.5,25,No,1,0,5,0,3,9,0,Low,0,0,0,0,0,1,3,11,4215,4215,4,0,0,0,0,0,0,0,0,0,1,0,0
8080,39,1986,26816,0,0,0,Low,2012-08-17,2012-08-17,8,Low,4,1,0,0,3,50,0,22,5.5,30,No,5,1,6,3,4,3,0,Low,0,0,0,0,0,0,3,11,4598,4598,4,0,0,1,0,0,0,0,0,1,0,0,0
7990,78,1947,27469,0,0,0,Low,2012-08-02,2012-08-02,10,Low,6,1,0,0,3,2,0,17,4.25,27,No,9,1,2,3,2,0,0,High,0,0,0,0,0,0,3,11,4613,4613,4,1,0,1,0,0,0,0,1,0,0,0,0
10451,60,1965,29672,1,1,2,Low,2013-03-12,2013-03-12,10,Low,6,1,0,0,3,6,0,25,6.25,35,No,9,1,3,0,4,8,0,High,0,0,0,0,0,0,3,11,4391,4391,4,1,0,1,0,0,0,0,0,0,1,0,0
4198,60,1965,29672,1,1,2,Low,2013-03-12,2013-03-12,10,Low,6,1,0,0,3,6,0,25,6.25,35,No,9,1,3,0,4,8,0,High,0,0,0,0,0,0,3,11,4391,4391,4,1,0,1,0,0,0,0,0,0,1,0,0
2375,53,1972,30261,1,2,3,Low,2012-09-25,2012-09-25,12,Low,8,1,0,0,3,75,0,22,5.5,34,No,8,0,5,0,3,6,0,High,0,0,0,0,0,0,3,11,4559,4559,4,1,0,1,0,0,0,0,0,0,1,0,0
6679,59,1966,33279,0,0,0,Low,2014-06-12,2014-06-12,7,Low,3,1,0,0,3,29,0,16,4.0,23,No,10,3,3,0,0,0,0,Low,0,0,0,0,0,0,3,11,3934,3934,4,0,0,1,0,0,0,0,0,1,0,0,0
7901,54,1971,34109,0,1,1,Low,2013-11-06,2013-11-06,8,Low,4,1,0,0,3,39,0,22,5.5,30,No,9,1,5,2,1,4,0,Low,0,0,0,0,0,0,3,11,4152,4152,4,0,0,0,1,0,0,0,1,0,0,0,0
9291,66,1959,34242,0,1,1,Low,2014-03-23,2014-03-23,9,Low,5,1,0,0,3,25,0,15,3.75,24,No,8,2,4,0,0,1,0,High,0,0,0,0,0,0,3,11,4015,4015,4,1,0,0,1,0,0,0,1,0,0,0,0
5329,76,1949,35946,1,1,2,Low,2013-09-27,2013-09-27,9,Low,5,1,0,0,3,24,0,11,2.75,20,No,8,0,3,0,0,0,0,High,0,0,0,0,0,0,3,11,4192,4192,4,1,0,0,0,1,0,1,0,0,0,0,0
2724,44,1981,36143,1,0,1,Low,2014-03-30,2014-03-30,7,Low,3,1,0,1,2,33,0,19,4.75,26,No,12,0,1,0,0,6,0,Low,0,0,0,0,0,0,3,11,4008,4008,4,0,0,0,1,0,0,0,0,1,0,0,0
8916,50,1975,36627,2,0,2,Low,2013-07-23,2013-07-23,9,Low,5,1,0,0,3,78,0,16,4.0,25,No,9,1,5,0,0,1,0,High,0,0,0,0,0,0,3,11,4258,4258,4,1,0,1,0,0,0,1,0,0,0,0,0
2217,50,1975,37284,1,1,2,Low,2013-03-29,2013-03-29,10,Low,6,1,0,0,3,46,0,23,5.75,33,No,11,1,2,2,1,6,0,High,0,0,0,0,0,0,3,11,4374,4374,4,1,0,0,0,0,0,0,1,0,0,0,0
4102,50,1975,37284,1,1,2,Low,2013-03-29,2013-03-29,10,Low,6,1,0,0,3,46,0,23,5.75,33,No,11,1,2,2,1,6,0,High,0,0,0,0,0,0,3,11,4374,4374,4,1,0,0,0,0,0,0,1,0,0,0,0
10492,66,1959,38285,2,1,3,Low,2014-06-24,2014-06-24,6,Low,2,1,0,0,3,96,0,10,2.5,16,No,2,0,5,2,0,1,0,Low,0,0,0,0,0,0,3,11,3922,3922,4,0,0,1,0,0,0,0,0,0,1,0,0
10141,65,1960,39228,0,0,0,Low,2013-05-10,2013-05-10,8,Low,4,1,0,0,3,1,0,20,5.0,28,No,7,1,6,0,3,3,0,Low,0,0,0,0,0,0,3,11,4332,4332,4,0,0,0,1,0,0,1,0,0,0,0,0
9523,43,1982,40479,1,0,1,Low,2013-08-17,2013-08-17,8,Low,4,1,0,0,3,95,0,15,3.75,23,No,5,0,8,2,0,0,0,Low,0,0,0,0,0,0,3,11,4233,4233,4,0,0,1,0,0,0,0,0,0,1,0,0
